Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price,"Today Trading Date/Price[$], Today price vs Signal"
DELTADRIFT,"TRI.TO, Long, 2025-11-30 (Price: 189.55)",Weekly,2026-02-01 (Price: 150.45),No Price Target,No Date Target,32.91%/33.07%,"-21.39%, 2.2 months","2026-02-10 (Price: 123.1700), 35.02% below",198.2693 (Historic Rise or Fall to Pivot)/201.2452 (Avg % Gain of Historic Winning trades)/199.76 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/229.22 (EMA 200)/204.8846 (Backtested Max)/198.0418 (Backtested Min),2027-11-28 (Max)/2026-07-31 (Avg),163.51/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",No Information,No Information,No Information,No Information,No Information,No Information,8.09%/4.48%/6.17%,"-0.0%, 11.31%",1.4 year/14 days/5.6 months,5.14%,6.08%,-0.94%,1.52,0.34,94.87%/39/1.3 month (Across ALL Assets),87.5%/112/2.3 months (Across ALL Assets),portfolio_target_achieved,190.76,"2026-02-03 (Price: 149.0), 21.39% below"
BAND MATRIX,"NA.TO, Long, 2025-02-23 (Price: 124.43)",Weekly,2026-02-01 (Price: 162.25),No Price Target,No Date Target,15.08%/22.68%,"31.75%, 11.5 months","2026-02-10 (Price: 173.1800), 39.18% above",188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/201.1287 (Backtested Max),2030-06-06 (Max)/2026-04-03 (Min)/2028-01-01 (Avg),106.39/73.9933/119.9028/88.8057/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 6",No Information,No Information,No Information,No Information,No Information,No Information,61.64%/4.69%/32.82%,"-0.0%, 42.56%",3.7 years/9.3 months/2 years,11.98%,7.53%,4.45%,1.22,0.44,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets),portfolio_target_achieved,125.91,"2026-02-03 (Price: 163.94), 31.75% above"
DELTADRIFT,"INDA, Long, 2026-01-22 (Price: 51.8)",Daily,2026-02-02 (Price: 53.28),No Price Target,2026-02-04 (Avg),0.75%/0.76%,"2.86%, 11 days","2026-02-10 (Price: 53.7400), 3.75% above",54.3641 (Historic Rise or Fall to Pivot)/53.71 (Function Specific Target)/55.3975 (Horizontal)/66.8401 (F-Stack 1)/79.771 (F-Stack 2)/53.68 (EMA 200)/53.6855 (Backtested Max),2026-03-03 (Max)/2026-02-04 (Avg),51.55/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level/No EMA 200 Support,"78.57%, Past 4 years, 14",No Information,No Information,No Information,No Information,No Information,No Information,3.64%/1.48%/2.43%,"5.35%, 6.14%",28 days/2 days/9 days,5.73%,3.54%,2.19%,0.28,0.12,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),portfolio_target_achieved,51.72,"2026-02-02 (Price: 53.28), 2.86% above"
FRACTAL TRACK,"BYD.TO, Long, 2025-11-16 (Price: 217.11)",Weekly,No Exit Yet,No Price Target,2026-02-06 (Min),3.97%/9.79%,"5.04%, 2.6 months","2026-02-10 (Price: 245.5200), 13.09% above",237.1058 (Historic Rise or Fall to Pivot)/256.2766 (Avg % Gain of Historic Winning trades)/252.85 (Function Specific Target)/256.6133 (Horizontal)/367.2583 (F-Stack 1)/388.6839 (F-Stack 2)/267.7835 (Backtested Max)/250.3713 (Backtested Min),2027-11-14 (Max)/2026-02-06 (Min)/2026-08-12 (Avg),209.51/188.685/147.1212/139.9966/No F-Track Level/No F-Track Level/216.42,"91.67%, Past 20 years, 12",No Information,No Information,No Information,"88.6% (Price: 205.401), 11.03% above, Upmove Bounce Back","2024-10-06 (Price: 198.61), 2025-03-02 (Price: 258.18)",No Information,23.34%/15.32%/18.04%,"1.41%, 35.96%",1.4 year/1.9 month/6.2 months,10.74%,18.6%,-7.86%,1.09,0.92,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),portfolio_target_achieved,214.22,"2026-02-03 (Price: 228.05), 5.04% above"
TRENDPULSE,"MFT.NZ, Long, 2025-12-28 (Price: 69.01)",Weekly,No Exit Yet,No Price Target,2026-02-06 (Min),5.94%/7.81%,"-5.59%, 1.2 month","2026-02-11 (Price: 64.9700), 5.85% below",74.3169 (Historic Rise or Fall to Pivot)/73.054 (Avg % Gain of Historic Winning trades)/69.02 (Function Specific Target)/85.45 (Horizontal)/105.252 (F-Stack 1)/119.9356 (F-Stack 2)/78.3471 (Backtested Max)/70.2384 (Backtested Min),2027-09-14 (Max)/2026-02-06 (Min)/2026-07-07 (Avg),58.66/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/63.83,"90.91%, Past 10 years, 22",No Information,No Information,No Information,No Information,No Information,4.56% below/5.59% below/5.59% below,13.53%/1.78%/5.86%,"5.83%, 27.74%",1.2 year/28 days/4.4 months,9.15%,10.41%,-1.26%,1.17,0.61,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),portfolio_target_achieved,68.29,"2026-02-03 (Price: 65.15), 5.59% below"
FRACTAL TRACK,"CNU.NZ, Long, 2025-11-02 (Price: 9.36)",Weekly,No Exit Yet,No Price Target,2026-02-01 (Min),2.11%/3.86%,"3.1%, 3.1 months","2026-02-11 (Price: 9.1500), 2.24% below",10.0835 (Historic Rise or Fall to Pivot)/10.8801 (Avg % Gain of Historic Winning trades)/10.83 (Function Specific Target)/10.0225 (F-Stack 1)/12.705 (F-Stack 2)/12.1324 (Backtested Max)/9.8533 (Backtested Min),2031-04-06 (Max)/2027-05-29 (Avg),9.2/6.0983/9.3249/7.51/No F-Track Level/No F-Track Level/9.01,"100.0%, Past 14 years, 12",No Information,No Information,No Information,"38.2% (Price: 9.046), 6.68% above, Upmove Bounce Back","2025-03-23 (Price: 7.535), 2025-09-07 (Price: 9.98)",No Information,29.62%/5.27%/16.24%,"-0.0%, 27.27%",3.8 years/2.1 months/1.1 year,13.05%,5.28%,7.77%,1.99,0.26,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),portfolio_target_achieved,9.2,"2026-02-03 (Price: 9.65), 3.1% above"
TRENDPULSE,"FBU.NZ, Long, 2025-09-30 (Price: 3.37)",Monthly,No Exit Yet,3.7478 (Backtested Min),No Date Target,5.85%/9.51%,"10.39%, 4.2 months","2026-02-11 (Price: 3.6800), 9.20% above",3.9375 (Historic Rise or Fall to Pivot)/4.0737 (Avg % Gain of Historic Winning trades)/4.39 (Function Specific Target)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/4.286 (Backtested Max),2026-06-22 (Max)/2026-05-05 (Min)/2026-05-18 (Avg),2.83/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.1,"100.0%, Past 20 years, 10",No Information,No Information,No Information,No Information,No Information,18.1% above/10.39% above/10.39% above,27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,5.5%,0.69%,4.81%,1.23,0.0,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),portfolio_target_achieved,3.13,"2026-02-03 (Price: 3.72), 10.39% above"
TRENDPULSE,"SUM.NZ, Long, 2025-11-16 (Price: 12.25)",Weekly,No Exit Yet,No Price Target,2026-02-06 (Max),9.8%/12.01%,"-6.2%, 2.6 months","2026-02-11 (Price: 11.2500), 8.16% below",13.5301 (Historic Rise or Fall to Pivot)/13.0499 (Avg % Gain of Historic Winning trades)/12.87 (Function Specific Target)/13.345 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/13.5595 (Backtested Max)/12.6163 (Backtested Min),2026-02-06 (Max),10.66/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.45,"90.91%, Past 10 years, 11",No Information,No Information,No Information,No Information,No Information,3.12% below/6.2% below/6.2% below,10.69%/2.99%/6.53%,"8.88%, 47.61%",1.9 month/28 days/1.4 month,-0.02%,11.46%,-11.48%,0.54,0.63,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),portfolio_target_achieved,11.86,"2026-02-03 (Price: 11.49), 6.2% below"
TRENDPULSE,"FSF.NZ, Long, 2025-10-05 (Price: 8.15)",Weekly,No Exit Yet,No Price Target,2026-02-03 (Avg),4.07%/4.51%,"-0.63%, 4 months","2026-02-11 (Price: 7.9500), 2.45% below",8.4646 (Historic Rise or Fall to Pivot)/8.6145 (Avg % Gain of Historic Winning trades)/9.56 (Function Specific Target)/8.4284 (F-Stack 1)/9.7443 (F-Stack 2)/9.234 (Backtested Max),2026-10-13 (Max),4.83/2.942/6.3611/No support/No F-Track Level/No F-Track Level/6.09,"80.0%, Past 10 years, 15",No Information,No Information,No Information,No Information,No Information,2.39% above/0.63% below/0.63% below,13.3%/1.25%/5.7%,"10.05%, 27.7%",8.6 months/28 days/2.8 months,4.87%,0.56%,4.31%,0.36,-0.06,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),portfolio_target_achieved,7.94,"2026-02-03 (Price: 8.099), 0.63% below"
FRACTAL TRACK,"META, Short, 2025-11-30 (Price: 647.95)",Monthly,2026-01-31 (Price: 716.5),No Price Target,No Date Target,-68.42%/-60.34%,"-9.02%, 2.2 months","2026-02-10 (Price: 670.7200), 3.51% above",559.6344 (Historic Rise or Fall to Pivot)/554.6452 (Avg % Gain of Historic Winning trades)/223.05 (Function Specific Target)/280.19 (Horizontal)/556.264 (F-Stack 1),2026-04-13 (Max)/2026-02-11 (Avg),No support/280.19/556.264/No support/No F-Track Level/No F-Track Level/No support,"100.0%, Past 13 years, 4",No Information,No Information,No Information,"23.66% (Price: 628.6993), 12.36% above, Upmove Break Below","2022-11-30 (Price: 88.09), 2025-08-31 (Price: 796.25)",No Information,32.63%/3.19%/14.4%,"0.0%, 32.63%",3.1 months/28 days/1.7 month,10.6%,5.4%,5.2%,0.76,0.8,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets),portfolio_target_achieved,656.0,"2026-02-03 (Price: 706.41), 9.02% above"
TRENDPULSE,"ORCL, Short, 2026-01-21 (Price: 173.88)",Daily,No Exit Yet,159.674 (Historic Rise or Fall to Pivot),2026-01-31 (Min),-48.27%/-4.81%,"7.95%, 12 days","2026-02-10 (Price: 159.8900), 8.05% below",155.23 (Function Specific Target)/82.7925 (Horizontal)/152.3597 (F-Stack 2),2026-02-18 (Max)/2026-02-05 (Avg),No support/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No support,"88.89%, Past 4 years, 9",No Information,No Information,No Information,No Information,No Information,16.24% below/7.95% below/7.95% below,9.31%/3.55%/5.63%,"12.19%, 12.03%",20 days/7 days/11 days,8.19%,5.2%,2.99%,0.56,0.75,No Data (Across ALL Assets),71.43%/7/10 days (Across ALL Assets),portfolio_target_achieved,179.68,"2026-02-02 (Price: 160.06), 7.95% below"
FRACTAL TRACK,"NFLX, Short, 2025-12-31 (Price: 93.76)",Quarterly,2026-02-03 (Price: 82.76),No Price Target,No Date Target,-72.15%/-57.87%,"11.73%, 1.1 month","2026-02-10 (Price: 82.2100), 12.32% below",66.1196 (Avg % Gain of Historic Winning trades)/23.05 (Function Specific Target)/34.8663 (Horizontal)/77.567 (F-Stack 2),2026-05-14 (Max)/2026-05-10 (Min)/2026-05-10 (Min),No support/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No support,"100.0%, Past 23 years, 6",No Information,No Information,No Information,"23.66% (Price: 106.2331), 22.1% below, Upmove Break Below","2022-06-30 (Price: 16.271), 2025-06-30 (Price: 134.115)",No Information,53.32%/10.52%/29.48%,"0.0%, 53.32%",3.1 months/3 months/3 months,11.77%,5.5%,6.27%,1.3,0.88,0.0%/1/3 months (Across ALL Assets),53.33%/15/3.1 months (Across ALL Assets),portfolio_target_achieved,117.549,"2026-02-03 (Price: 82.76), 11.73% below"
OSCILLATOR DELTA,"LULU, Short, 2026-01-29 (Price: 172.54)",Daily,No Exit Yet,No Price Target,2026-02-02 (Min),-42.97%/-21.01%,"-3.79%, 4 days","2026-02-10 (Price: 180.6200), 4.68% above",152.1458 (Historic Rise or Fall to Pivot)/160.7728 (Avg % Gain of Historic Winning trades)/156.46 (Function Specific Target)/159.855 (Horizontal)/141.4621 (F-Stack 1)/102.1221 (F-Stack 2),2026-04-08 (Max)/2026-02-28 (Avg),No Recent Maxima/159.855/141.4621/102.1221/No F-Track Level/No F-Track Level/No support,"100.0%, Past 6 years, 4",No Information,No Information,No Information,No Information,No Information,No Information,10.36%/5.08%/6.82%,"0.0%, 23.9%",1.6 month/3 days/21 days,11.58%,5.2%,6.38%,2.72,0.08,83.33%/18/4 days (Across ALL Assets),62.86%/35/4 days (Across ALL Assets),portfolio_target_achieved,179.62,"2026-02-02 (Price: 179.08), 3.79% above"
FRACTAL TRACK,"SJ.TO, Long, 2025-08-24 (Price: 78.13)",Weekly,2026-02-01 (Price: 91.3),No Price Target,No Date Target,24.14%/37.69%,"27.04%, 5.5 months","2026-02-10 (Price: 100.1900), 28.23% above",136.67 (Function Specific Target)/123.2166 (F-Stack 2),2035-12-04 (Max)/2027-07-02 (Avg),76.98/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 20 years, 13",No Information,No Information,No Information,"23.66% (Price: 74.9167), 32.49% above, Upmove Bounce Back","2002-02-03 (Price: 0.4375), 2024-07-28 (Price: 98.0)",No Information,21.37%/7.04%/15.95%,"14.17%, 49.7%",7.2 years/1.2 month/1.3 year,8.85%,12.31%,-3.46%,1.52,0.64,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),portfolio_target_achieved,76.84,"2026-02-04 (Price: 99.26), 27.04% above"
FRACTAL TRACK,"SJ.TO, Long, 2025-10-31 (Price: 79.61)",Monthly,2026-02-04 (Price: 99.26),101.1286 (Historic Rise or Fall to Pivot)/101.8371 (Avg % Gain of Historic Winning trades),No Date Target,14.19%/24.14%,"24.68%, 3.2 months","2026-02-10 (Price: 100.1900), 25.85% above",138.22 (Function Specific Target)/123.2166 (F-Stack 2)/113.3487 (Backtested Max),2031-09-06 (Max)/2028-04-04 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 31 years, 8",No Information,No Information,No Information,"23.66% (Price: 74.8871), 32.55% above, Upmove Bounce Back","1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,8.5%,12.52%,-4.02%,1.5,0.63,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),portfolio_target_achieved,79.32,"2026-02-04 (Price: 99.26), 24.68% above"
FRACTAL TRACK,"SJ.TO, Long, 2025-06-30 (Price: 78.49)",Monthly,2026-02-04 (Price: 99.26),99.7058 (Historic Rise or Fall to Pivot)/100.4044 (Avg % Gain of Historic Winning trades),No Date Target,12.59%/24.14%,"26.46%, 7.3 months","2026-02-10 (Price: 100.1900), 27.65% above",135.41 (Function Specific Target)/123.2166 (F-Stack 2)/111.7541 (Backtested Max),2031-05-06 (Max)/2027-12-03 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 31 years, 8",No Information,No Information,No Information,"38.2% (Price: 61.7578), 60.72% above, Upmove Bounce Back","2009-03-31 (Price: 3.125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,8.5%,12.52%,-4.02%,1.5,0.63,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),portfolio_target_achieved,77.78,"2026-02-04 (Price: 99.26), 26.46% above"
TRENDPULSE,"SJ.TO, Long, 2026-02-01 (Price: 91.3)",Weekly,No Exit Yet,98.4853 (Avg % Gain of Historic Winning trades),No Date Target,2.19%/2.74%,"8.72%, 3 days","2026-02-10 (Price: 100.1900), 9.74% above",101.4343 (Historic Rise or Fall to Pivot)/101.98 (Function Specific Target)/123.2166 (F-Stack 2)/113.1207 (Backtested Max),2027-07-07 (Max)/2026-03-25 (Min)/2026-05-24 (Avg),76.55/38.015/87.8633/66.807/No F-Track Level/No F-Track Level/79.76,"83.33%, Past 10 years, 24",No Information,No Information,No Information,No Information,No Information,8.72% above/8.72% above/8.72% above,23.9%/1.55%/7.87%,"6.63%, 46.57%",1 year/1.2 month/2.6 months,13.27%,11.85%,1.42%,0.6,0.66,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),portfolio_target_achieved,88.65,"2026-02-04 (Price: 99.26), 8.72% above"
TRENDPULSE,"SJ.TO, Long, 2026-01-11 (Price: 88.81)",Weekly,No Exit Yet,98.6679 (Historic Rise or Fall to Pivot)/99.12 (Function Specific Target),No Date Target,10.86%/24.14%,"11.77%, 24 days","2026-02-10 (Price: 100.1900), 12.81% above",123.2166 (F-Stack 2)/110.0356 (Backtested Max),2027-06-16 (Max)/2026-03-04 (Min)/2026-05-03 (Avg),76.55/38.015/87.8633/66.807/No F-Track Level/No F-Track Level/78.08,"83.33%, Past 10 years, 24",No Information,No Information,No Information,No Information,No Information,11.77% above/11.77% above/11.77% above,23.9%/1.55%/7.87%,"6.63%, 46.57%",1 year/1.2 month/2.6 months,13.27%,11.85%,1.42%,0.6,0.66,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),portfolio_target_achieved,86.08,"2026-02-04 (Price: 99.26), 11.77% above"
TRENDPULSE,"AMD, Long, 2025-07-31 (Price: 176.31)",Monthly,2026-02-04 (Price: 200.19),No Price Target,No Date Target,25.14%/25.56%,"13.54%, 6.3 months","2026-02-10 (Price: 213.5700), 21.13% above",342.059 (Historic Rise or Fall to Pivot)/395.7983 (Avg % Gain of Historic Winning trades)/251.3512 (F-Stack 2)/512.4979 (Backtested Max)/250.5189 (Backtested Min),2029-02-23 (Max)/2026-03-09 (Min)/2026-09-21 (Avg),97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,"100.0%, Past 20 years, 16",No Information,No Information,No Information,No Information,No Information,80.79% above/13.54% above/13.54% above,190.68%/42.09%/124.49%,"-0.0%, 58.95%",2.5 years/5.1 months/9.6 months,26.16%,7.99%,18.17%,1.24,0.48,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),portfolio_target_achieved,138.77,"2026-02-04 (Price: 200.19), 13.54% above"
TRENDPULSE,"AMD, Long, 2024-02-29 (Price: 192.53)",Monthly,2026-02-04 (Price: 200.19),No Price Target,No Date Target,36.65%/86.59%,"3.98%, 2 years","2026-02-10 (Price: 213.5700), 10.93% above",373.5275 (Historic Rise or Fall to Pivot)/432.2106 (Avg % Gain of Historic Winning trades)/559.6462 (Backtested Max)/273.5659 (Backtested Min),2027-09-24 (Max),60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/124.45,"100.0%, Past 20 years, 16",No Information,No Information,No Information,No Information,No Information,35.8% above/3.98% above/3.98% above,190.68%/42.09%/124.49%,"-0.0%, 58.95%",2.5 years/5.1 months/9.6 months,26.16%,7.99%,18.17%,1.24,0.48,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),portfolio_target_achieved,169.27,"2026-02-04 (Price: 200.19), 3.98% above"
TRENDPULSE,"AMD, Long, 2024-01-31 (Price: 167.69)",Monthly,2026-02-04 (Price: 200.19),No Price Target,No Date Target,62.51%/88.05%,"19.38%, 2 years","2026-02-10 (Price: 213.5700), 27.36% above",325.3354 (Historic Rise or Fall to Pivot)/376.4473 (Avg % Gain of Historic Winning trades)/487.4413 (Backtested Max),2027-08-26 (Max),60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/116.01,"100.0%, Past 20 years, 16",No Information,No Information,No Information,No Information,No Information,35.8% above/19.38% above/19.38% above,190.68%/42.09%/124.49%,"-0.0%, 58.95%",2.5 years/5.1 months/9.6 months,26.16%,7.99%,18.17%,1.24,0.48,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),portfolio_target_achieved,144.28,"2026-02-04 (Price: 200.19), 19.38% above"
DELTADRIFT,"DOL.TO, Long, 2026-01-23 (Price: 192.22)",Daily,No Exit Yet,No Price Target,2026-02-03 (Avg),0.82%/1.15%,"1.61%, 12 days","2026-02-10 (Price: 188.4200), 1.98% below",212.0955 (Historic Rise or Fall to Pivot)/198.2557 (Avg % Gain of Historic Winning trades)/205.18 (Function Specific Target)/197.56 (Horizontal)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/198.8708 (Backtested Max)/196.9102 (Backtested Min),2026-02-23 (Max),180.3/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/187.67,"80.0%, Past 4 years, 5",No Information,No Information,No Information,No Information,No Information,No Information,3.46%/2.44%/3.14%,"4.54%, 4.54%",22 days/3 days/8 days,6.16%,20.38%,-14.22%,0.47,1.39,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),portfolio_target_achieved,193.26,"2026-02-04 (Price: 195.31), 1.61% above"
TRENDPULSE,"DOL.TO, Long, 2025-05-31 (Price: 176.5)",Monthly,2026-02-04 (Price: 195.31),No Price Target,No Date Target,5.35%/8.0%,"10.66%, 8.3 months","2026-02-10 (Price: 188.4200), 6.75% above",210.9352 (Historic Rise or Fall to Pivot)/205.7637 (Avg % Gain of Historic Winning trades)/233.0 (Function Specific Target)/294.0831 (F-Stack 2)/220.0779 (Backtested Max),2026-11-03 (Max)/2026-07-13 (Avg),39.04/45.99/132.3972/94.2286/No F-Track Level/No F-Track Level/147.05,"100.0%, Past 20 years, 9",No Information,No Information,No Information,No Information,No Information,10.66% above/10.66% above/10.66% above,24.69%/6.61%/16.58%,"-0.0%, 12.12%",1 year/5 months/9.4 months,9.06%,19.7%,-10.64%,1.65,1.31,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),portfolio_target_achieved,170.49,"2026-02-04 (Price: 195.31), 10.66% above"
OSCILLATOR DELTA,"DOL.TO, Long, 2026-02-02 (Price: 187.0)",Daily,No Exit Yet,No Price Target,2026-02-04 (Min),1.15%/1.15%,"4.44%, 2 days","2026-02-10 (Price: 188.4200), 0.76% above",201.3055 (Historic Rise or Fall to Pivot)/206.2797 (Avg % Gain of Historic Winning trades)/203.83 (Function Specific Target)/197.56 (Horizontal)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/226.6814 (Backtested Max)/197.5468 (Backtested Min),2026-10-12 (Max)/2026-05-12 (Avg),No Recent Minima/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.24%, Past 6 years, 17",No Information,No Information,No Information,No Information,No Information,No Information,21.22%/5.64%/10.31%,"10.55%, 13.94%",5.8 months/2 days/2.3 months,19.66%,19.52%,0.14%,0.91,1.22,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets),portfolio_target_achieved,185.16,"2026-02-04 (Price: 195.31), 4.44% above"
FRACTAL TRACK,"CEN.NZ, Long, 2025-12-11 (Price: 9.36)",Daily,No Exit Yet,No Price Target,2026-02-05 (Min),4.55%/7.63%,"2.24%, 1.8 month","2026-02-11 (Price: 9.6500), 3.10% above",10.0058 (Avg % Gain of Historic Winning trades)/10.3 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.486 (Backtested Max),2030-01-31 (Max)/2026-02-05 (Min)/2027-04-02 (Avg),9.28/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.21,"90.91%, Past 5 years, 11",No Information,No Information,No Information,"38.2% (Price: 9.3041), 2.86% above, Upmove Bounce Back","2025-03-20 (Price: 8.34), 2025-11-26 (Price: 9.9)",No Information,12.03%/1.09%/6.9%,"3.1%, 17.16%",2.9 years/1.3 month/11 months,8.13%,2.77%,5.36%,0.86,0.1,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets),portfolio_target_achieved,9.3,"2026-02-04 (Price: 9.57), 2.24% above"
FRACTAL TRACK,"CEN.NZ, Long, 2025-05-31 (Price: 9.16)",Monthly,2026-02-04 (Price: 9.57),No Price Target,No Date Target,14.42%/15.33%,"4.48%, 8.3 months","2026-02-11 (Price: 9.6500), 5.35% above",11.2979 (Avg % Gain of Historic Winning trades)/10.95 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/12.1049 (Backtested Max)/11.0369 (Backtested Min),2040-05-27 (Max)/2028-12-24 (Avg),7.79/6.86/8.6706/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.89%, Past 26 years, 9",No Information,No Information,No Information,"50% (Price: 8.31), 15.16% above, Upmove Bounce Back","2022-06-30 (Price: 6.82), 2024-12-31 (Price: 9.8)",No Information,32.15%/20.49%/23.34%,"1.72%, 36.63%",10.5 years/1 month/2.5 years,6.07%,3.39%,2.68%,1.19,0.12,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),portfolio_target_achieved,8.9,"2026-02-04 (Price: 9.57), 4.48% above"
